alpha,case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,jobs_mean,jobs_std,jobs_min,jobs_max,miss_mean,miss_std,miss_min,miss_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
25,1_9_4,ai,9,100,3,9.0,0.0,9.0,9.0,100.0,0.0,100.0,100.0,198.0,9.41629792788369,189.0,211.0,31493.333333333332,1653.5356731024044,29768.0,33723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30290371577585146,0.014335140845875978,0.2889908256880734,0.32262996941896027,0.6577790062508446,0.01015857403932362,0.6467227182862978,0.6712515704197894,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,1_9_4,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,366.0,5.0990195135927845,361.0,373.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599241640167781,0.008196938459845229,0.5519877675840978,0.5712098009188361,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
25,1_9_4,logger,4,50,3,4.0,0.0,4.0,4.0,50.0,0.0,50.0,50.0,89.66666666666667,8.178562764256865,82.0,101.0,16390.666666666668,1047.9097713490837,15177.0,17734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13717212020737035,0.012475678471809049,0.12538226299694188,0.154434250764526,0.3422209937491554,0.010158574039323616,0.32874842958021055,0.3532772817137022,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
50,1_14_8,ai,14,100,3,14.0,0.0,14.0,14.0,300.0,0.0,300.0,300.0,208.33333333333334,0.4714045207910317,208.0,209.0,48203.666666666664,2390.026824582147,45177.0,51020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3201885935552582,0.0012330242414980768,0.31852986217457885,0.321483771251932,0.7731215741658174,0.002782277810283866,0.7697713613381245,0.7765837620627721,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
50,1_14_8,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,339.0,0.0,339.0,339.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210125977490239,0.0021070362200259875,0.5191424196018377,0.5239567233384853,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
50,1_14_8,logger,8,50,3,8.0,0.0,8.0,8.0,100.0,0.0,100.0,100.0,103.33333333333333,2.494438257849294,100.0,106.0,14141.333333333334,624.2100785971196,13266.0,14678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15879880869571797,0.0032108957265061266,0.1545595054095827,0.16232771822358347,0.2268784258341826,0.0027822778102838657,0.22341623793722792,0.23022863866187554,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
50,1_25_9,ai,25,100,3,25.0,0.0,25.0,25.0,500.0,0.0,500.0,500.0,275.3333333333333,6.649979114420001,266.0,281.0,55255.333333333336,1285.8103368001916,53455.0,56377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42426565882851064,0.011098864310249692,0.40860215053763443,0.43297380585516176,0.7463768764328039,0.002957132511046184,0.7425590101691315,0.749763940792361,0.5263157894736842,0.0,0.5263157894736842,0.5263157894736842
50,1_25_9,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,323.6666666666667,6.128258770283412,316.0,331.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,1.0,0.816496580927726,0.0,2.0,0.006666666666666667,0.005443310539518174,0.0,0.013333333333333334,0.4986953872587444,0.008190216556270568,0.4884080370942813,0.5084485407066052,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.3157894736842105,0.3157894736842105
50,1_25_9,logger,9,50,3,9.0,0.0,9.0,9.0,150.0,0.0,150.0,150.0,50.0,4.320493798938574,44.0,54.0,18777.0,518.8005397067354,18123.0,19392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07703895391274497,0.006619550897911457,0.06779661016949153,0.08294930875576037,0.25362312356719613,0.002957132511046184,0.25023605920763903,0.2574409898308685,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525
50,1_5_2,ai,5,100,3,5.0,0.0,5.0,5.0,200.0,0.0,200.0,200.0,234.66666666666666,13.274871834493252,222.0,253.0,44998.666666666664,1709.132593517022,42976.0,47156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35844791496447775,0.020192342885259066,0.33893129770992364,0.38625954198473283,0.81254618308643,0.010654099407399385,0.7985333641848957,0.8243479476959653,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
