run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
29,1_25_9,100,0,500,195,0.39,65674,23062,0.4880528723945094,0.37620742247076766,0.13573970513472292,1,29.908,76.68717948717949,122,32.798,44.312224001961354,124,2,126
30,1_14_8,0,25,500,3,0.006,50459,24927,0.5303643724696356,0.3188259109311741,0.1508097165991903,1,0.006,1.0,1,2.192,0.4971277501809756,3,2,5
31,1_14_8,25,25,500,45,0.09,63697,23551,0.5043037974683544,0.3331645569620253,0.16253164556962024,1,0.548,6.088888888888889,15,3.002,2.696293010783509,17,2,19
32,1_14_8,50,25,500,9,0.018,52911,24902,0.5192502532928065,0.3252279635258359,0.15552178318135765,1,0.04,2.2222222222222223,4,2.264,0.7282197470544183,6,2,8
33,1_14_8,75,25,500,44,0.088,59123,26193,0.496705524581855,0.34363912823112014,0.15965534718702484,1,0.65,7.386363636363637,18,3.006,3.082525587890553,20,2,22
34,1_14_8,100,25,500,127,0.254,61745,27200,0.4936772888214466,0.35912999494183107,0.1471927162367223,1,7.22,28.4251968503937,51,9.894,14.872348973850768,53,2,55
35,1_25_9,0,0,500,11,0.022,54815,22895,0.5352971051295073,0.31538852209243273,0.14931437277805992,1,0.046,2.090909090909091,4,2.316,0.7642931374806404,6,2,8
36,1_25_9,25,0,500,14,0.028,55465,23975,0.5251141552511416,0.3465246067985794,0.12836123795027904,1,0.052,1.8571428571428572,4,2.388,0.8493856603451702,6,2,8
37,1_25_9,50,0,500,24,0.048,61358,22821,0.503294475418145,0.3826659908768373,0.11403953370501774,1,0.172,3.5833333333333335,8,2.57,1.3946684193742978,10,2,12
38,1_25_9,75,25,500,89,0.178,73719,17532,0.4842639593908629,0.4050761421319797,0.11065989847715736,1,0.802,4.50561797752809,19,3.622,3.158340703597381,21,2,23
39,1_25_9,100,0,500,198,0.396,63189,23831,0.4777327935222672,0.3896761133603239,0.1325910931174089,1,29.342,74.0959595959596,117,32.25,42.87455539128074,119,2,121
40,1_14_8,0,25,500,5,0.01,51776,24779,0.5308704453441295,0.3097165991902834,0.15941295546558704,1,0.012,1.2,2,2.254,0.5380371734369288,4,2,6
41,1_14_8,25,25,500,12,0.024,54162,26426,0.5408422120750888,0.3059360730593607,0.15322171486555047,1,0.086,3.5833333333333335,6,2.282,0.9562823850725264,8,2,10
42,1_14_8,50,25,500,6,0.012,51654,22724,0.5258620689655172,0.3144016227180527,0.15973630831643001,1,0.018,1.5,2,2.248,0.6020764071112563,4,2,6
43,1_14_8,75,25,500,23,0.046,51147,25923,0.5080889787664308,0.352376137512639,0.13953488372093023,1,0.072,1.565217391304348,4,2.366,0.8602581008046359,6,2,8
44,1_14_8,100,25,500,124,0.248,59249,23833,0.4941713127217435,0.3487075519513431,0.15712113532691332,1,7.254,29.25,50,9.922,15.060541690125227,52,2,54
45,1_25_9,0,0,500,4,0.008,53783,24934,0.5367833587011669,0.31557584982242515,0.1476407914764079,1,0.008,1.0,1,2.226,0.5205036022930101,3,2,5
46,1_25_9,25,0,500,29,0.058,57031,21775,0.5324873096446701,0.3314720812182741,0.13604060913705585,1,0.122,2.103448275862069,5,2.46,1.0716342659695053,7,2,9
47,1_25_9,50,0,500,30,0.06,61397,22702,0.504312531709792,0.3729071537290715,0.12278031456113647,1,0.248,4.133333333333334,10,2.676,1.6766108671960822,12,2,14
48,1_25_9,75,25,500,89,0.178,74602,18865,0.47213779128672745,0.4219858156028369,0.10587639311043566,1,1.708,9.595505617977528,19,4.456,4.768234893542892,21,2,23
49,1_25_9,100,25,500,152,0.304,105889,23984,0.47344461305007585,0.4132524026302479,0.11330298431967628,1,15.78,51.9078947368421,83,18.53,27.305037996677463,85,2,87
