run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
34,1_14_8,100,85,500,42,0.084,211769,64773,0.4069591527987897,0.4503277861825517,0.1427130610186586,1,0.234,2.7857142857142856,7,2.862,1.4279201658356115,9,2,11
35,1_25_9,0,24,500,0,0.0,126964,53504,0.5557809330628803,0.2956389452332657,0.14858012170385396,1,0.0,0.0,0,2.004,0.0631189353522379,1,2,3
36,1_25_9,25,49,500,0,0.0,169400,48872,0.5177484787018256,0.36764705882352944,0.11460446247464504,1,0.0,0.0,0,2.01,0.09949874371066655,1,2,3
37,1_25_9,50,71,500,4,0.008,227920,58781,0.4785245073269328,0.4284992420414351,0.09297625063163213,1,0.01,1.25,2,2.544,0.669375828664286,4,2,6
38,1_25_9,75,65,500,13,0.026,237824,52118,0.4262626262626263,0.44545454545454544,0.12828282828282828,1,0.032,1.2307692307692308,2,2.666,0.7864121057053993,4,2,6
39,1_25_9,100,64,500,59,0.118,216736,55907,0.45885916203937405,0.447753659767794,0.0933871781928319,1,1.94,16.440677966101696,34,4.524,6.61040271087927,36,2,38
40,1_14_8,0,24,500,0,0.0,108495,55117,0.5432911392405063,0.3032911392405063,0.15341772151898733,1,0.0,0.0,0,2.008,0.08908422980528004,1,2,3
41,1_14_8,25,49,500,0,0.0,142568,54976,0.5321518987341772,0.34632911392405064,0.12151898734177215,1,0.0,0.0,0,2.028,0.17668050260286133,2,2,4
42,1_14_8,50,71,500,4,0.008,177329,65212,0.4850934815563416,0.41232945932289033,0.10257705912076806,1,0.01,1.25,2,2.282,0.5536027456579311,4,2,6
43,1_14_8,75,66,500,9,0.018,184039,65738,0.4598687531549722,0.43008581524482586,0.11004543160020192,1,0.02,1.1111111111111112,2,2.386,0.6848386671326314,4,2,6
44,1_14_8,100,57,500,32,0.064,210685,70160,0.42067916877850986,0.4647744551444501,0.11454637607704005,1,0.18,2.8125,7,2.818,1.3389831963097967,9,2,11
45,1_25_9,0,24,500,0,0.0,128807,55672,0.5557809330628803,0.30324543610547666,0.140973630831643,1,0.0,0.0,0,2.0,0.0,0,2,2
46,1_25_9,25,23,500,47,0.094,139005,48233,0.5478966041561074,0.3380638621388748,0.11403953370501774,1,1.176,12.51063829787234,23,3.432,4.727512665239512,25,2,27
47,1_25_9,50,65,500,5,0.01,231435,62327,0.4729387961557916,0.42842690945877593,0.09863429438543247,1,0.01,1.0,1,2.362,0.5924153948033416,3,2,5
48,1_25_9,75,32,500,10,0.02,205175,63375,0.4954314720812183,0.399492385786802,0.1050761421319797,1,0.032,1.6,3,2.208,0.6298698278215903,5,2,7
49,1_25_9,100,54,500,60,0.12,255104,66688,0.4689236988377969,0.4340576048509348,0.09701869631126832,1,1.41,11.75,26,3.926,5.229581627625675,28,2,30
